"fixed.acidity";"volatile.acidity";"residual.sugar";"chlorides";"total.sulfur.dioxide";"density";"pH";"sulphates";"alcohol";"quality";"pred.qual"
7,6;0,51;2,8;0,11;73;0,9955;3,17;0,63;10,2;"good";0,996948011438956
7,7;0,62;3,8;0,084;45;0,9978;3,34;0,53;9,5;"normal";0,997558255686844
10,2;0,42;3,4;0,07;10;0,9971;3,04;0,63;9,6;"normal";0,997471077937146
7,5;0,63;5,1;0,111;110;0,9983;3,26;0,77;9,4;"normal";0,997645433436542
7,8;0,59;2,3;0,076;54;0,9975;3,43;0,59;10;"normal";0,997122366938352
7,3;0,39;2,4;0,074;46;0,9962;3,41;0,54;9,4;"good";0,997645433436542
8,8;0,4;2,2;0,079;52;0,998;3,44;0,64;9,2;"normal";0,997819788935939
7,7;0,69;1,8;0,115;112;0,9968;3,21;0,71;9,3;"normal";0,997732611186241
7,5;0,52;1,9;0,085;35;0,9968;3,38;0,62;9,5;"good";0,997558255686844
7;0,735;2;0,081;54;0,9966;3,39;0,57;9,8;"normal";0,997296722437749
7,2;0,725;4,65;0,086;11;0,9962;3,41;0,39;10,9;"normal";0,996337767191067
7,2;0,725;4,65;0,086;11;0,9962;3,41;0,39;10,9;"normal";0,996337767191067
7,5;0,52;1,5;0,079;39;0,9968;3,42;0,58;9,6;"normal";0,997471077937146
6,6;0,705;1,6;0,076;15;0,9962;3,44;0,58;10,7;"normal";0,996512122690464
9,3;0,32;2;0,074;65;0,9969;3,28;0,79;10,7;"normal";0,996512122690464
8;0,705;1,9;0,074;19;0,9962;3,34;0,95;10,5;"good";0,99668647818986
7,7;0,63;1,9;0,076;27;0,9967;3,32;0,54;9,5;"good";0,997558255686844
7,7;0,67;2,1;0,088;96;0,9962;3,32;0,48;9,5;"normal";0,997558255686844
7,7;0,69;1,9;0,084;94;0,9961;3,31;0,48;9,5;"normal";0,997558255686844
8,3;0,675;2,1;0,084;43;0,9976;3,31;0,53;9,2;"bad";0,997819788935939
9,7;0,32;2,5;0,094;83;0,9984;3,28;0,82;9,6;"normal";0,997471077937146
8,8;0,41;2,2;0,093;42;0,9986;3,54;0,66;10,5;"normal";0,99668647818986
8,8;0,41;2,2;0,093;42;0,9986;3,54;0,66;10,5;"normal";0,99668647818986
6,8;0,785;2,4;0,104;30;0,9966;3,52;0,55;10,7;"good";0,996512122690464
6,7;0,75;2;0,086;80;0,9958;3,38;0,52;10,1;"normal";0,997035189188654
8,3;0,625;1,5;0,08;119;0,9972;3,16;1,12;9,1;"bad";0,997906966685637
6,2;0,45;1,6;0,069;15;0,9958;3,41;0,56;9,2;"normal";0,997819788935939
7,8;0,43;1,9;0,464;67;0,9974;3,13;1,28;9,4;"normal";0,997645433436542
7,4;0,5;2;0,086;73;0,997;3,36;0,57;9,1;"normal";0,997906966685637
7,3;0,67;1,8;0,401;51;0,9969;3,16;1,14;9,4;"normal";0,997645433436542
6,3;0,3;1,8;0,069;61;0,9959;3,44;0,78;10,3;"good";0,996860833689257
6,9;0,55;2,2;0,076;40;0,9961;3,41;0,59;10,1;"normal";0,997035189188654
7,7;0,49;1,9;0,062;31;0,9966;3,39;0,64;9,6;"normal";0,997471077937146
7;0,62;1,8;0,076;24;0,9978;3,48;0,53;9;"normal";0,997994144435336
7,7;0,49;1,9;0,062;31;0,9966;3,39;0,64;9,6;"normal";0,997471077937146
5;1,02;1,4;0,045;85;0,9938;3,75;0,48;10,5;"bad";0,99668647818986
4,7;0,6;2,3;0,058;106;0,9932;3,85;0,6;12,9;"good";0,9945942121971
6,8;0,775;3;0,102;23;0,9965;3,45;0,56;10,7;"normal";0,996512122690464
7;0,5;2;0,07;22;0,9963;3,25;0,63;9,2;"normal";0,997819788935939
7,6;0,9;2,5;0,079;10;0,9967;3,39;0,56;9,8;"normal";0,997296722437749
8,1;0,545;1,9;0,08;35;0,9972;3,3;0,59;9;"good";0,997994144435336
8,3;0,61;2,1;0,084;50;0,9972;3,4;0,61;10,2;"good";0,996948011438956
7,8;0,5;1,9;0,075;22;0,9959;3,31;0,56;10,4;"good";0,996773655939559
8,1;0,545;1,9;0,08;35;0,9972;3,3;0,59;9;"good";0,997994144435336
8,1;0,575;2,1;0,077;65;0,9967;3,29;0,51;9,2;"normal";0,997819788935939
7,2;0,49;2,2;0,07;36;0,996;3,33;0,48;9,4;"normal";0,997645433436542
8,1;0,575;2,1;0,077;65;0,9967;3,29;0,51;9,2;"normal";0,997819788935939
7,8;0,41;1,7;0,467;69;0,9973;3,08;1,31;9,3;"normal";0,997732611186241
6,2;0,63;1,7;0,088;64;0,9969;3,46;0,79;9,3;"normal";0,997732611186241
8;0,33;2,5;0,091;80;0,9976;3,37;0,8;9,6;"good";0,997471077937146
7,8;0,56;1,8;0,104;47;0,9964;3,19;0,93;9,5;"normal";0,997558255686844
8,4;0,62;2,2;0,084;108;0,9964;3,15;0,66;9,8;"normal";0,997296722437749
8,4;0,6;2,2;0,085;111;0,9964;3,15;0,66;9,8;"normal";0,997296722437749
10,1;0,31;2,3;0,08;46;0,9988;3,32;0,67;9,7;"good";0,997383900187447
7,8;0,56;1,8;0,104;47;0,9964;3,19;0,93;9,5;"normal";0,997558255686844
9,4;0,4;2,2;0,09;62;0,9966;3,07;0,63;10,5;"good";0,99668647818986
8,3;0,54;1,9;0,077;40;0,9978;3,39;0,61;10;"good";0,997122366938352
7,8;0,56;2;0,082;28;0,997;3,37;0,5;9,4;"good";0,997645433436542
8,8;0,55;2,2;0,119;56;0,9962;3,21;0,6;10,9;"good";0,996337767191067
7;0,69;1,8;0,097;89;0,9959;3,34;0,54;9,2;"good";0,997819788935939
7,3;1,07;1,7;0,178;89;0,9962;3,3;0,57;9;"normal";0,997994144435336
8,8;0,55;2,2;0,119;56;0,9962;3,21;0,6;10,9;"good";0,996337767191067
7,3;0,695;2,5;0,075;13;0,998;3,49;0,52;9,2;"normal";0,997819788935939
8;0,71;2,6;0,08;34;0,9976;3,44;0,53;9,5;"normal";0,997558255686844
7,8;0,5;1,6;0,082;102;0,996;3,39;0,48;9,5;"normal";0,997558255686844
9;0,62;1,9;0,146;90;0,9984;3,16;0,7;9,4;"normal";0,997645433436542
8,2;1,33;1,7;0,081;12;0,9964;3,53;0,49;10,9;"normal";0,996337767191067
8,1;1,33;1,8;0,082;12;0,9964;3,54;0,48;10,9;"normal";0,996337767191067
8;0,59;1,8;0,065;16;0,9962;3,42;0,92;10,5;"good";0,99668647818986
6,1;0,38;1,8;0,072;19;0,9955;3,42;0,57;9,4;"normal";0,997645433436542
5,6;0,5;2,3;0,049;99;0,9937;3,63;0,63;13;"normal";0,994507034447401
5,6;0,5;2,3;0,049;99;0,9937;3,63;0,63;13;"normal";0,994507034447401
6,6;0,5;1,5;0,06;26;0,9952;3,4;0,58;9,8;"good";0,997296722437749
7,9;1,04;2,2;0,084;29;0,9959;3,22;0,55;9,9;"good";0,997209544688051
8,4;0,745;1,9;0,09;63;0,9965;3,19;0,82;9,6;"normal";0,997471077937146
8,3;0,715;1,8;0,089;52;0,9968;3,23;0,77;9,5;"normal";0,997558255686844
7,2;0,415;2;0,081;45;0,9972;3,48;0,64;9,2;"normal";0,997819788935939
7,8;0,56;2,1;0,081;105;0,9962;3,33;0,54;9,5;"normal";0,997558255686844
7,8;0,56;2;0,081;108;0,9962;3,32;0,54;9,5;"normal";0,997558255686844
8,4;0,745;1,9;0,09;63;0,9965;3,19;0,82;9,6;"normal";0,997471077937146
8,3;0,715;1,8;0,089;52;0,9968;3,23;0,77;9,5;"normal";0,997558255686844
5,2;0,34;1,8;0,05;63;0,9916;3,68;0,79;14;"good";0,993635256950418
6,3;0,39;1,7;0,066;20;0,9954;3,34;0,58;9,4;"normal";0,997645433436542
5,2;0,34;1,8;0,05;63;0,9916;3,68;0,79;14;"good";0,993635256950418
5,8;0,68;1,8;0,087;94;0,9944;3,54;0,52;10;"normal";0,997122366938352
7,6;0,49;1,6;0,236;88;0,9968;3,11;0,8;9,3;"normal";0,997732611186241
6,9;0,49;2,3;0,074;30;0,9959;3,42;0,58;10,2;"good";0,996948011438956
8,2;0,4;2,8;0,089;43;0,9975;3,53;0,61;10,5;"good";0,99668647818986
7,3;0,33;2,1;0,077;11;0,9958;3,33;0,53;10,3;"good";0,996860833689257
9,2;0,52;3,4;0,61;69;0,9996;2,74;2;9,4;"bad";0,997645433436542
7,5;0,6;1,8;0,095;99;0,995;3,35;0,54;10,1;"normal";0,997035189188654
7,5;0,6;1,8;0,095;99;0,995;3,35;0,54;10,1;"normal";0,997035189188654
7,1;0,68;2,2;0,073;22;0,9969;3,48;0,5;9,3;"normal";0,997732611186241
6,8;0,6;1,9;0,079;86;0,9968;3,59;0,57;9,3;"good";0,997732611186241
7,6;0,95;2;0,09;20;0,9959;3,2;0,56;9,6;"normal";0,997471077937146
7,6;0,68;1,3;0,072;20;0,9965;3,17;1,08;9,2;"bad";0,997819788935939
7,8;0,53;1,7;0,076;31;0,9964;3,33;0,56;10;"good";0,997122366938352
7,4;0,6;7,3;0,07;121;0,9982;3,37;0,49;9,4;"normal";0,997645433436542
7,3;0,59;7,2;0,07;121;0,9981;3,37;0,49;9,4;"normal";0,997645433436542
7,8;0,63;1,7;0,1;96;0,9961;3,19;0,62;9,5;"normal";0,997558255686844
6,8;0,64;2,1;0,085;101;0,9956;3,34;0,52;10,2;"normal";0,996948011438956
7,3;0,55;1,6;0,072;42;0,9956;3,37;0,48;9;"bad";0,997994144435336
6,8;0,63;2,1;0,089;44;0,9953;3,47;0,55;10,4;"good";0,996773655939559
7,5;0,705;1,8;0,36;63;0,9964;3;1,59;9,5;"normal";0,997558255686844
7,9;0,885;1,8;0,058;8;0,9972;3,36;0,33;9,1;"bad";0,997906966685637
8;0,42;2;0,073;18;0,9972;3,29;0,61;9,2;"good";0,997819788935939
8;0,42;2;0,073;18;0,9972;3,29;0,61;9,2;"good";0,997819788935939
7,4;0,62;1,9;0,068;42;0,9961;3,42;0,57;11,5;"good";0,995814700692877
7,3;0,38;2;0,08;35;0,9961;3,33;0,47;9,5;"normal";0,997558255686844
6,9;0,5;1,5;0,085;49;0,9958;3,35;0,78;9,5;"normal";0,997558255686844
7,3;0,38;2;0,08;35;0,9961;3,33;0,47;9,5;"normal";0,997558255686844
7,5;0,52;2,3;0,087;38;0,9972;3,58;0,61;10,5;"good";0,99668647818986
7;0,805;2,5;0,068;20;0,9969;3,48;0,56;9,6;"normal";0,997471077937146
8,8;0,61;2,4;0,067;42;0,9969;3,19;0,59;9,5;"normal";0,997558255686844
8,8;0,61;2,4;0,067;42;0,9969;3,19;0,59;9,5;"normal";0,997558255686844
8,9;0,61;2;0,27;110;0,9972;3,12;1,02;9,3;"normal";0,997732611186241
7,2;0,73;2,5;0,076;42;0,9972;3,44;0,52;9,3;"normal";0,997732611186241
6,8;0,61;1,8;0,077;65;0,9971;3,54;0,58;9,3;"normal";0,997732611186241
6,7;0,62;1,9;0,079;62;0,997;3,52;0,58;9,3;"good";0,997732611186241
8,9;0,31;2;0,111;85;0,9971;3,26;0,53;9,7;"normal";0,997383900187447
7,4;0,39;2;0,082;67;0,9972;3,34;0,55;9,2;"normal";0,997819788935939
7,7;0,705;2,6;0,084;26;0,9976;3,39;0,49;9,7;"normal";0,997383900187447
6,4;0,37;1,9;0,074;49;0,9974;3,57;0,62;9,8;"good";0,997296722437749
7,6;0,55;2,2;0,071;28;0,9964;3,28;0,55;9,7;"normal";0,997383900187447
7,6;0,55;2,2;0,071;28;0,9964;3,28;0,55;9,7;"normal";0,997383900187447
7,8;0,59;2;0,074;120;0,9968;3,25;0,54;9,4;"normal";0,997645433436542
7,3;0,58;2,4;0,074;55;0,9968;3,46;0,59;10,2;"normal";0,996948011438956
11,5;0,3;2;0,067;27;0,9981;3,11;0,97;10,1;"good";0,997035189188654
5,4;0,835;1,2;0,046;93;0,9924;3,57;0,85;13;"good";0,994507034447401
6,9;1,09;2,1;0,061;31;0,9948;3,51;0,43;11,4;"bad";0,995901878442575
9,6;0,32;1,4;0,056;24;0,99695;3,22;0,82;10,3;"good";0,996860833689257
6,8;0,5;1,5;0,075;49;0,99545;3,36;0,79;9,5;"normal";0,997558255686844
7;0,42;1,6;0,088;39;0,9961;3,34;0,55;9,2;"normal";0,997819788935939
7;0,43;1,6;0,089;37;0,99615;3,34;0,56;9,2;"good";0,997819788935939
12,8;0,3;2,6;0,095;28;0,9994;3,2;0,77;10,8;"good";0,996424944940765
12,8;0,3;2,6;0,095;28;0,9994;3,2;0,77;10,8;"good";0,996424944940765
7,8;0,57;1,8;0,069;120;0,99625;3,29;0,53;9,3;"normal";0,997732611186241
7,8;0,44;2,7;0,1;95;0,9966;3,22;0,67;9,4;"normal";0,997645433436542
11;0,3;2,1;0,054;19;0,998;3,31;0,88;10,5;"good";0,99668647818986
9,7;0,53;2;0,039;19;0,99585;3,3;0,86;12,4;"good";0,995030100945591
8;0,725;2,8;0,083;62;0,99685;3,35;0,56;10;"good";0,997122366938352
11,6;0,44;2,1;0,059;15;0,998;3,21;0,67;10,2;"good";0,996948011438956
8,2;0,57;2,2;0,06;65;0,9959;3,3;0,43;10,1;"normal";0,997035189188654
7,8;0,735;2,4;0,092;41;0,9974;3,24;0,71;9,8;"good";0,997296722437749
7;0,49;5,6;0,06;121;0,9974;3,34;0,76;10,5;"normal";0,99668647818986
8,7;0,625;2;0,101;49;0,9962;3,14;0,57;11;"normal";0,996250589441369
8,1;0,725;2,2;0,072;41;0,9967;3,36;0,55;9,1;"normal";0,997906966685637
7,5;0,49;1,9;0,076;44;0,9957;3,39;0,54;9,7;"normal";0,997383900187447
7,8;0,34;2;0,082;58;0,9964;3,34;0,59;9,4;"good";0,997645433436542
7,4;0,53;2;0,101;72;0,9957;3,15;0,57;9,4;"normal";0,997645433436542
6,8;0,61;1,5;0,057;10;0,99525;3,42;0,6;9,5;"normal";0,997558255686844
8,6;0,645;2;0,083;28;0,99815;3,28;0,6;10;"good";0,997122366938352
8,4;0,635;2;0,089;55;0,99745;3,31;0,57;10,4;"bad";0,996773655939559
7,7;0,43;2,6;0,073;63;0,99615;3,37;0,58;10,5;"good";0,99668647818986
8,9;0,59;2;0,337;81;0,9964;3,04;1,61;9,5;"good";0,997558255686844
9;0,82;2,6;0,089;23;0,9984;3,39;0,63;9,8;"normal";0,997296722437749
7,7;0,43;2,6;0,073;63;0,99615;3,37;0,58;10,5;"good";0,99668647818986
6,9;0,52;2,6;0,081;37;0,99685;3,46;0,5;11;"normal";0,996250589441369
5,2;0,48;1,6;0,054;106;0,9927;3,54;0,62;12,2;"good";0,995204456444988
8;0,38;1,8;0,078;49;0,99625;3,37;0,52;9,9;"good";0,997209544688051
8,5;0,37;2,8;0,09;58;0,998;3,34;0,7;9,6;"good";0,997471077937146
6,9;0,52;2,6;0,081;37;0,99685;3,46;0,5;11;"normal";0,996250589441369
8,2;1;2,3;0,065;37;0,99685;3,32;0,55;9;"good";0,997994144435336
7,2;0,63;1,9;0,097;38;0,99675;3,37;0,58;9;"good";0,997994144435336
7,2;0,63;1,9;0,097;38;0,99675;3,37;0,58;9;"good";0,997994144435336
7,2;0,645;1,9;0,097;39;0,99675;3,37;0,58;9,2;"good";0,997819788935939
7,2;0,63;1,9;0,097;38;0,99675;3,37;0,58;9;"good";0,997994144435336
8,2;1;2,3;0,065;37;0,99685;3,32;0,55;9;"good";0,997994144435336
8,9;0,635;1,7;0,263;62;0,9971;3;1,09;9,3;"normal";0,997732611186241
12;0,38;2,1;0,093;24;0,99925;3,14;0,71;10,9;"good";0,996337767191067
7,7;0,58;1,8;0,102;109;0,99565;3,08;0,49;9,8;"good";0,997296722437749
15;0,21;2,2;0,075;24;1,00005;3,07;0,84;9,2;"good";0,997819788935939
15;0,21;2,2;0,075;24;1,00005;3,07;0,84;9,2;"good";0,997819788935939
7,3;0,66;2;0,084;23;0,9983;3,61;0,96;9,9;"good";0,997209544688051
7,1;0,68;1,9;0,075;51;0,99685;3,38;0,52;9,5;"normal";0,997558255686844
8,2;0,6;2,3;0,072;73;0,9963;3,2;0,45;9,3;"normal";0,997732611186241
7,7;0,53;1,7;0,074;39;0,99615;3,35;0,48;9,8;"good";0,997296722437749
7,3;0,66;2;0,084;23;0,9983;3,61;0,96;9,9;"good";0,997209544688051
10,8;0,32;1,6;0,063;37;0,9985;3,22;0,78;10;"good";0,997122366938352
7,1;0,6;1,8;0,074;34;0,9972;3,47;0,7;9,9;"good";0,997209544688051
11,1;0,35;3,1;0,09;21;0,9986;3,17;0,53;10,5;"normal";0,99668647818986
7,7;0,775;1,9;0,092;86;0,9959;3,23;0,59;9,5;"normal";0,997558255686844
7,1;0,6;1,8;0,074;34;0,9972;3,47;0,7;9,9;"good";0,997209544688051
8;0,57;3,2;0,073;119;0,99675;3,26;0,57;9,3;"normal";0,997732611186241
9,4;0,34;2,2;0,075;13;0,998;3,22;0,62;9,2;"normal";0,997819788935939
6,6;0,695;2,1;0,075;56;0,9968;3,49;0,67;9,2;"normal";0,997819788935939
7,7;0,41;1,8;0,611;45;0,9968;3,06;1,26;9,4;"normal";0,997645433436542
10;0,31;2,6;0,085;33;0,99965;3,36;0,8;10,5;"good";0,99668647818986
7,9;0,33;1,7;0,077;45;0,99625;3,29;0,65;9,3;"normal";0,997732611186241
7;0,975;2;0,087;67;0,99565;3,35;0,6;9,4;"bad";0,997645433436542
8;0,52;1,7;0,07;35;0,99575;3,34;0,57;10;"normal";0,997122366938352
7,9;0,37;1,8;0,077;49;0,9963;3,28;0,67;9,3;"normal";0,997732611186241
12,5;0,56;2,4;0,064;27;0,9999;3,08;0,87;10,9;"normal";0,996337767191067
11,8;0,26;1,8;0,071;10;0,9968;3,2;0,72;10,2;"good";0,996948011438956
8,1;0,87;3,3;0,096;61;1,00025;3,6;0,72;9,8;"bad";0,997296722437749
7,9;0,35;3,6;0,078;37;0,9973;3,35;0,86;12,8;"good";0,994681389946798
6,9;0,54;3;0,077;27;0,9987;3,69;0,91;9,4;"good";0,997645433436542
11,5;0,18;4;0,104;23;0,9996;3,28;0,97;10,1;"good";0,997035189188654
7,9;0,545;4;0,087;61;0,9965;3,36;0,67;10,7;"good";0,996512122690464
11,5;0,18;4;0,104;23;0,9996;3,28;0,97;10,1;"good";0,997035189188654
10,9;0,37;4;0,071;65;0,99935;3,22;0,78;10,1;"normal";0,997035189188654
8,4;0,715;2,4;0,076;38;0,99735;3,31;0,64;9,4;"normal";0,997645433436542
7,5;0,65;7;0,088;94;0,99915;3,38;0,77;9,4;"normal";0,997645433436542
7,9;0,545;4;0,087;61;0,9965;3,36;0,67;10,7;"good";0,996512122690464
6,9;0,54;3;0,077;27;0,9987;3,69;0,91;9,4;"good";0,997645433436542
11,5;0,18;4;0,104;23;0,9996;3,28;0,97;10,1;"good";0,997035189188654
10,3;0,32;6,4;0,073;13;0,9976;3,23;0,82;12,6;"good";0,994855745446195
8,9;0,4;5,6;0,087;47;0,9991;3,38;0,77;10,5;"good";0,99668647818986
11,4;0,26;3,6;0,071;19;0,9986;3,12;0,82;9,3;"good";0,997732611186241
7,7;0,27;3,5;0,358;10;0,9972;3,25;1,08;9,9;"good";0,997209544688051
7,6;0,52;3;0,067;53;0,9971;3,36;0,57;9,1;"normal";0,997906966685637
8,9;0,4;5,6;0,087;47;0,9991;3,38;0,77;10,5;"good";0,99668647818986
9,9;0,59;3,4;0,102;71;1,00015;3,31;0,71;9,8;"normal";0,997296722437749
9,9;0,59;3,4;0,102;71;1,00015;3,31;0,71;9,8;"normal";0,997296722437749
12;0,45;2;0,073;49;0,9997;3,1;0,76;10,3;"good";0,996860833689257
7,5;0,4;3;0,092;53;0,9967;3,37;0,7;10,3;"good";0,996860833689257
8,7;0,52;2,5;0,091;49;0,9976;3,34;0,86;10,6;"good";0,996599300440162
11,6;0,42;3,3;0,105;98;1,001;3,2;0,95;9,2;"normal";0,997819788935939
8,7;0,52;2,5;0,091;49;0,9976;3,34;0,86;10,6;"good";0,996599300440162
11;0,2;2;0,343;18;0,9979;3,3;0,71;10,5;"normal";0,99668647818986
10,4;0,55;2,7;0,091;48;0,9994;3,22;0,64;10,3;"good";0,996860833689257
6,9;0,36;2,4;0,098;16;0,9964;3,41;0,6;10,1;"good";0,997035189188654
13,3;0,34;3,2;0,094;53;1,0014;3,05;0,81;9,5;"good";0,997558255686844
10,8;0,5;2,5;0,073;27;1,0001;3,05;0,64;9,5;"normal";0,997558255686844
10,6;0,83;2,6;0,086;70;0,9981;3,16;0,52;9,9;"normal";0,997209544688051
7,1;0,63;2;0,083;29;0,99855;3,67;0,73;9,6;"normal";0,997471077937146
7,2;0,65;2,3;0,094;31;0,9993;3,67;0,8;9,7;"normal";0,997383900187447
6,9;0,67;2,1;0,08;33;0,99845;3,68;0,71;9,6;"normal";0,997471077937146
7,5;0,53;2,6;0,086;44;0,9965;3,38;0,59;10,7;"good";0,996512122690464
11,1;0,18;1,5;0,068;15;0,9973;3,22;0,64;10,1;"good";0,997035189188654
8,3;0,705;2,6;0,092;28;0,9994;3,51;0,72;10;"normal";0,997122366938352
7,4;0,67;1,6;0,186;21;0,996;3,39;0,54;9,5;"normal";0,997558255686844
8,4;0,65;2,1;0,112;90;0,9973;3,2;0,52;9,2;"normal";0,997819788935939
10,3;0,53;2,5;0,063;25;0,9998;3,12;0,59;9,3;"good";0,997732611186241
7,6;0,62;2,2;0,082;54;0,9966;3,36;0,52;9,4;"normal";0,997645433436542
10,3;0,41;2,4;0,213;14;0,9994;3,19;0,62;9,5;"good";0,997558255686844
10,3;0,43;2,4;0,214;12;0,9994;3,19;0,63;9,5;"good";0,997558255686844
7,4;0,29;1,7;0,062;30;0,9968;3,41;0,53;9,5;"good";0,997558255686844
10,3;0,53;2,5;0,063;25;0,9998;3,12;0,59;9,3;"good";0,997732611186241
7,9;0,53;2;0,072;105;0,996;3,27;0,54;9,4;"good";0,997645433436542
9;0,46;2,8;0,093;98;0,99815;3,32;0,63;9,5;"good";0,997558255686844
7,4;0,36;2,6;0,087;72;0,99645;3,39;0,68;11;"normal";0,996250589441369
7,1;0,35;2,5;0,096;53;0,9962;3,42;0,65;11;"good";0,996250589441369
9,6;0,56;3,4;0,102;92;0,9996;3,3;0,65;10,1;"normal";0,997035189188654
9,6;0,77;2,9;0,082;74;0,99865;3,3;0,64;10,4;"good";0,996773655939559
9,8;0,66;3,2;0,083;59;0,9989;3,37;0,71;11,5;"good";0,995814700692877
9,6;0,77;2,9;0,082;74;0,99865;3,3;0,64;10,4;"good";0,996773655939559
9,8;0,66;3,2;0,083;59;0,9989;3,37;0,71;11,5;"good";0,995814700692877
9,3;0,61;3,4;0,09;87;0,99975;3,24;0,62;9,7;"normal";0,997383900187447
7,8;0,62;2,3;0,079;18;0,99735;3,29;0,63;9,3;"normal";0,997732611186241
